Year,Year Code,Country Name,Country Code,"Population ages 15-19, female (% of female population) [SP.POP.1519.FE.5Y]","Population ages 20-24, female (% of female population) [SP.POP.2024.FE.5Y]","Population ages 25-29, female (% of female population) [SP.POP.2529.FE.5Y]","Population ages 30-34, female (% of female population) [SP.POP.3034.FE.5Y]","Population ages 35-39, female (% of female population) [SP.POP.3539.FE.5Y]","Population ages 40-44, female (% of female population) [SP.POP.4044.FE.5Y]","Population ages 45-49, female (% of female population) [SP.POP.4549.FE.5Y]",Fertility_Population
2015,YR2015,Sri Lanka,LKA,7.352859258,7.312999723,7.171977638,7.514365361,7.491971736,6.512055018,6.316753543,49.67298228
2015,YR2015,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,0
2015,YR2015,St. Lucia,LCA,8.826815642,9.04474805,7.828972841,7.910835776,7.404170585,7.366557885,7.104375242,55.48647602
2015,YR2015,St. Martin (French part),MAF,..,..,..,..,..,..,..,0
2015,YR2015,St. Vincent and the Grenadines,VCT,8.891101523,8.653243353,8.116679574,7.781096729,7.01773795,6.28388096,5.845041856,52.58878194
2015,YR2015,Sub-Saharan Africa,SSF,10.55097155,9.007149175,7.736140067,6.606302952,5.402829554,4.353077371,3.510234239,47.1667049
2015,YR2015,Sub-Saharan Africa (excluding high income),SSA,10.55139546,9.007375668,7.736197793,6.606161825,5.402568854,4.352740315,3.509837592,47.16627751
2015,YR2015,Sub-Saharan Africa (IDA & IBRD countries),TSS,10.55097155,9.007149175,7.736140067,6.606302952,5.402829554,4.353077371,3.510234239,47.1667049
2015,YR2015,Sudan,SDN,10.78784242,9.072087901,7.415513016,6.501183231,5.546921279,4.634354423,3.893365604,47.85126788
2015,YR2015,Suriname,SUR,8.700119821,8.541447297,7.706691841,7.360662285,6.510293744,7.039323191,6.154097527,52.01263571
2015,YR2015,Sweden,SWE,4.992918072,6.971332576,6.692212254,6.099079011,6.014734752,6.565501334,6.8489218,44.1846998
2015,YR2015,Switzerland,CHE,5.046678492,5.959594878,6.64318168,7.109288467,6.590548661,6.969044789,7.965574389,46.28391136
2015,YR2015,Syrian Arab Republic,SYR,11.22012978,7.917452454,7.029525873,7.012838975,6.098796588,4.962305432,4.340256758,48.58130586
2015,YR2015,Tajikistan,TJK,9.98346623,9.819045896,9.549834062,7.386895158,5.796346011,5.183733254,4.686449953,52.40577057
2015,YR2015,Tanzania,TZA,10.31547487,8.955455814,7.624952693,6.423612984,5.261689012,4.109969393,3.196288976,45.88744374
2015,YR2015,Thailand,THA,6.709367728,6.809378692,6.358745842,6.858069139,7.836176143,8.416573333,8.473726115,51.46203699
2015,YR2015,Timor-Leste,TLS,12.39632076,8.687935715,6.541984158,5.572892278,3.483098605,4.697287722,3.82184689,45.20136613
